"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryBulding.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryChildGoods.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryClothes.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryElectronics.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryEstate.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryHealth.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryHobby.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryHomeAppliance.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryHouseGoods.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryService.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategorySport.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryTransport.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectSubCategoryTransportGoods.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/irvanev/Works/hvala-web/src/components/select-types/select-types-clothes/SelectTypesForClothes.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/irvanev/Works/hvala-web/src/components/select-types/select-types-electronics/SelectTypesForComputers.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/irvanev/Works/hvala-web/src/components/select-types/select-types-electronics/SelectTypesForComputersAccs.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/irvanev/Works/hvala-web/src/config/firebase.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/irvanev/Works/hvala-web/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"/Users/irvanev/Works/hvala-web/src/index.html", "HTML", 0, 0, 0, 0, 0, 79, 0, 6, 5, 90
"/Users/irvanev/Works/hvala-web/src/index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/irvanev/Works/hvala-web/src/pages/AddAdvertisment/AddItem.jsx", "JavaScript JSX", 0, 728, 0, 0, 0, 0, 0, 4, 52, 784
"/Users/irvanev/Works/hvala-web/src/pages/Advertisment/Adevertisment.jsx", "JavaScript JSX", 0, 117, 0, 0, 0, 0, 0, 1, 16, 134
"/Users/irvanev/Works/hvala-web/src/pages/AdvertismentCard/CardItem.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 1, 14, 108
"/Users/irvanev/Works/hvala-web/src/pages/AdvertismentCard/cardItem.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/irvanev/Works/hvala-web/src/pages/Auth/Authorization.jsx", "JavaScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 12, 108
"/Users/irvanev/Works/hvala-web/src/pages/Auth/authorizations.module.css", "CSS", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/irvanev/Works/hvala-web/src/pages/CategoryAdvertisment/CategoryAdvertisments.jsx", "JavaScript JSX", 0, 294, 0, 0, 0, 0, 0, 0, 19, 313
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/BuildingMaterial.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/CategorySelect.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/ChildGoods.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/Clothes.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/EditAdvertismt.jsx", "JavaScript JSX", 0, 1130, 0, 0, 0, 0, 0, 1, 32, 1163
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/Electronics.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/Estate.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/HealthBeauty.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/HobbyRelax.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/HomeAppliance.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/HouseGoods.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/Service.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/Sport.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/Transport.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/irvanev/Works/hvala-web/src/pages/EditAdvertisment/TransportGoods.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/irvanev/Works/hvala-web/src/pages/Help.jsx", "JavaScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 4, 80
"/Users/irvanev/Works/hvala-web/src/pages/Profile/Profile.jsx", "JavaScript JSX", 0, 356, 0, 0, 0, 0, 0, 1, 15, 372
"/Users/irvanev/Works/hvala-web/src/pages/Profile/SellerProfile.jsx", "JavaScript JSX", 0, 340, 0, 0, 0, 0, 0, 2, 33, 375
"/Users/irvanev/Works/hvala-web/src/pages/Profile/Settings.jsx", "JavaScript JSX", 0, 279, 0, 0, 0, 0, 0, 0, 24, 303
"/Users/irvanev/Works/hvala-web/src/pages/Profile/profile.module.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"/Users/irvanev/Works/hvala-web/src/pages/Register/Registration.jsx", "JavaScript JSX", 0, 198, 0, 0, 0, 0, 0, 0, 16, 214
"/Users/irvanev/Works/hvala-web/src/pages/Register/registration.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"/Users/irvanev/Works/hvala-web/src/pages/contact.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 5, 90
"/Users/irvanev/Works/hvala-web/src/pages/message/Message.jsx", "JavaScript JSX", 0, 417, 0, 0, 0, 0, 0, 4, 46, 467
"/Users/irvanev/Works/hvala-web/src/pages/message/message.module.css", "CSS", 0, 0, 85, 0, 0, 0, 0, 0, 17, 102
"/Users/irvanev/Works/hvala-web/src/pages/message/messages.css", "CSS", 0, 0, 162, 0, 0, 0, 0, 0, 35, 197
"/Users/irvanev/Works/hvala-web/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/irvanev/Works/hvala-web/src/services/AdvertismentsCardCategory.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 11, 41
"/Users/irvanev/Works/hvala-web/src/services/AdvertismentsHome/AdvertismentsService.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/irvanev/Works/hvala-web/src/services/GetFormDataForAddAdvertisments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/irvanev/Works/hvala-web/src/services/ProfileService.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 15, 89
"/Users/irvanev/Works/hvala-web/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 255, 8696, 423, 47, 23751, 131, 39, 29, 932, 34303
